OTU_ID,Pathogen
OTU_821_Abiotrophia_defectiva,Yes
OTU_1211_Acaryochloris_marina,No
OTU_176_Acetanaerobacterium_elongatum,No
OTU_1533_Acetivibrio_cellulolyticus,No
OTU_279_Acetivibrio_cellulolyticus,No
OTU_741_Achromobacter_denitrificans,Yes
OTU_2260_Achromobacter_xylosoxidans,Yes
OTU_5_Achromobacter_xylosoxidans,Yes
OTU_449_Acidicapsa_borealis,No
OTU_960_Acidipila_rosea,No
OTU_1045_Acidisphaera_rubrifaciens,No
OTU_1071_Acidisphaera_rubrifaciens,No
OTU_112_Acidisphaera_rubrifaciens,No
OTU_1135_Acidisphaera_rubrifaciens,No
OTU_1402_Acidisphaera_rubrifaciens,No
OTU_265_Acidisphaera_rubrifaciens,No
OTU_644_Acidisphaera_rubrifaciens,No
OTU_669_Acidisphaera_rubrifaciens,No
OTU_686_Acidisphaera_rubrifaciens,No
OTU_687_Acidisphaera_rubrifaciens,No
OTU_280_Aciditerrimonas_ferrireducens,No
OTU_961_Aciditerrimonas_ferrireducens,No
OTU_1072_Acidothermus_cellulolyticus,No
OTU_1658_Acidothermus_cellulolyticus,No
OTU_680_Acidothermus_cellulolyticus,No
OTU_281_Acidovorax_wautersii,Yes
OTU_2100_Acinetobacter_baumannii,Yes
OTU_98_Acinetobacter_johnsonii,Yes
OTU_153_Acinetobacter_radioresistens,Yes
OTU_944_Acinetobacter_seohaensis,No
OTU_326_Acinetobacter_septicus,Yes
OTU_313_Actinobaculum_massiliense,Yes
OTU_305_Actinomyces_massiliensis,Yes
OTU_306_Actinomyces_odontolyticus,Yes
OTU_683_Actinomyces_oris,Yes
OTU_220_Actinomycetospora_atypica,No
OTU_1059_Actinoplanes_digitatis,No
OTU_454_Actinoplanes_palleronii,No
OTU_827_Actinotignum_schaalii,Yes
OTU_1023_Adhaeribacter_terreus,No
OTU_2053_Adhaeribacter_terreus,No
OTU_964_Aeromicrobium_ginsengisoli,No
OTU_1297_Aggregicoccus_edonensis,No
OTU_241_Agreia_pratensis,No
OTU_554_Agrobacterium_larrymoorei,No
OTU_1987_Agrobacterium_rhizogenes,Yes
OTU_101_Agrococcus_terreus,No
OTU_106_Akkermansia_muciniphila,No
OTU_129_Albibacter_methylovorans,No
OTU_1221_Algisphaera_agarilytica,No
OTU_1767_Algisphaera_agarilytica,No
OTU_273_Algisphaera_agarilytica,No
OTU_642_Algisphaera_agarilytica,No
OTU_768_Algisphaera_agarilytica,No
OTU_1079_Algoriphagus_lutimaris,No
OTU_262_Alistipes_putredinis,Yes
OTU_612_Alistipes_senegalensis,No
OTU_1626_Alloprevotella_rava,No
OTU_2229_Amaricoccus_macauensis,No
OTU_111_Amnibacterium_kyonggiense,No
OTU_1350_Amnibacterium_kyonggiense,No
OTU_2284_Anabaena_cylindrica,No
OTU_37_Anabaena_cylindrica,No
OTU_67_Anabaena_cylindrica,No
OTU_324_Anaerobacillus_macyae,No
OTU_1691_Anaeromyxobacter_dehalogenans,No
OTU_336_Anaerovorax_odorimutans,No
OTU_1261_Anaplasma_phagocytophilum,Yes
OTU_1456_Anaplasma_phagocytophilum,Yes
OTU_19_Anaplasma_phagocytophilum,Yes
OTU_9_Anaplasma_phagocytophilum,Yes
OTU_1491_Ancylobacter_polymorphus,No
OTU_353_Angustibacter_aerolatus,No
OTU_1795_Aquisphaera_giovannonii,No
OTU_1042_Armatimonas_rosea,No
OTU_1066_Armatimonas_rosea,No
OTU_1081_Armatimonas_rosea,No
OTU_1526_Armatimonas_rosea,No
OTU_2109_Armatimonas_rosea,No
OTU_520_Armatimonas_rosea,No
OTU_1935_Arthrobacter_parietis,No
OTU_2056_Aureimonas_ferruginea,No
OTU_59_Aureimonas_ferruginea,No
OTU_975_Aureimonas_ferruginea,No
OTU_663_Aureimonas_frigidaquae,No
OTU_50_Aureimonas_phyllosphaerae,No
OTU_947_Aureimonas_rubiginis,No
OTU_319_Bacillus_asahii,No
OTU_1496_Bacillus_bataviensis,No
OTU_1984_Bacillus_bataviensis,No
OTU_1127_Bacillus_circulans,Yes
OTU_1505_Bacillus_circulans,Yes
OTU_563_Bacillus_circulans,Yes
OTU_1992_Bacillus_clausii,Yes
OTU_161_Bacillus_fortis,No
OTU_356_Bacillus_humi,No
OTU_490_Bacillus_lentus,No
OTU_383_Bacillus_murimartini,No
OTU_1133_Bacillus_niacini,No
OTU_379_Bacillus_oleronius,No
OTU_408_Bacillus_shackletonii,No
OTU_82_Bacillus_simplex,No
OTU_744_Bacillus_subtilis,No
OTU_571_Bacillus_thermoamylovorans,No
OTU_35_Bacillus_weihenstephanensis,No
OTU_136_Bacteroides_vulgatus,No
OTU_1506_Bdellovibrio_bacteriovorus,No
OTU_1930_Bdellovibrio_bacteriovorus,No
OTU_208_Bdellovibrio_bacteriovorus,No
OTU_2129_Bdellovibrio_bacteriovorus,No
OTU_2248_Bdellovibrio_bacteriovorus,No
OTU_636_Bdellovibrio_bacteriovorus,No
OTU_820_Bdellovibrio_bacteriovorus,No
OTU_935_Bdellovibrio_bacteriovorus,No
OTU_1248_Beijerinckia_derxii,No
OTU_647_Beijerinckia_derxii,No
OTU_1051_Beijerinckia_doebereinerae,No
OTU_1253_Beijerinckia_doebereinerae,No
OTU_1609_Beijerinckia_doebereinerae,No
OTU_1780_Beijerinckia_doebereinerae,No
OTU_2128_Beijerinckia_doebereinerae,No
OTU_228_Beijerinckia_doebereinerae,No
OTU_655_Beijerinckia_doebereinerae,No
OTU_69_Beijerinckia_doebereinerae,No
OTU_708_Beijerinckia_doebereinerae,No
OTU_78_Beijerinckia_doebereinerae,No
OTU_1044_Beijerinckia_indica,No
OTU_1622_Beijerinckia_indica,No
OTU_2176_Beijerinckia_indica,No
OTU_257_Beijerinckia_indica,No
OTU_656_Beijerinckia_indica,No
OTU_74_Beijerinckia_indica,No
OTU_114_Beijerinckia_mobilis,No
OTU_1259_Beijerinckia_mobilis,No
OTU_1509_Beijerinckia_mobilis,No
OTU_1513_Beijerinckia_mobilis,No
OTU_1980_Beijerinckia_mobilis,No
OTU_664_Beijerinckia_mobilis,No
OTU_848_Beijerinckia_mobilis,No
OTU_783_Belnapia_moabensis,No
OTU_142_Bergeyella_zoohelcum,Yes
OTU_2254_Bergeyella_zoohelcum,Yes
OTU_60_Bergeyella_zoohelcum,Yes
OTU_2177_Bifidobacterium_gallinarum,No
OTU_1482_Bifidobacterium_thermacidophilum,No
OTU_660_Blastocatella_fastidiosa,No
OTU_1507_Blastococcus_saxobsidens,No
OTU_1036_Blastopirellula_cremea,No
OTU_28_Borreliella_burgdorferi,Yes
OTU_825_Borreliella_burgdorferi,Yes
OTU_368_Bosea_minatitlanensis,No
OTU_586_Bradyrhizobium_canariense,No
OTU_83_Bradyrhizobium_denitrificans,No
OTU_1138_Bradyrhizobium_pachyrhizi,No
OTU_2252_Brasilonema_octagenarum,No
OTU_158_Brasilonema_terrestre,No
OTU_155_Brevibacillus_limnophilus,No
OTU_819_Brevibacillus_limnophilus,No
OTU_1755_Brevibacillus_massiliensis,No
OTU_1568_Brevibacterium_aurantiacum,No
OTU_285_Brevundimonas_olei,No
OTU_62_Brevundimonas_staleyi,No
OTU_1917_Calothrix_sp,No
OTU_225_Caminibacter_hydrogeniphilus,No
OTU_2240_Campylobacter_concisus,Yes
OTU_1798_Candidatus_Blochmannia,No
OTU_1863_Candidatus_Carsonella,No
OTU_1994_Candidatus_Carsonella,No
OTU_1995_Candidatus_Carsonella,No
OTU_1207_Candidatus_Koribacter,No
OTU_1401_Candidatus_Koribacter,No
OTU_1634_Candidatus_Koribacter,No
OTU_1765_Candidatus_Koribacter,No
OTU_1293_Carboxydocella_manganica,No
OTU_188_Carnobacterium_maltaromaticum,No
OTU_2060_Caulobacter_henricii,No
OTU_1082_Caulobacter_segnis,No
OTU_274_Caulobacter_sp,No
OTU_1068_Caulobacter_vibrioides,No
