sample,rName,r_num,original_samp_ID,bc,cell,runID,type,host,collaborator,institution,proj,stage,sex,park,town,county,state,environment,animal,antibiotic,group
rLane_NC1,t_205,205,rLane_NC1,lbc16,C01,r54257_20200316_171956,control,,lane,UCB,tick,,,,,,,,,,
rLane_1,t_206,206,rLane_1,lbc17,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_2,t_207,207,rLane_2,lbc18,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_3,t_208,208,rLane_3,lbc19,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_4,t_209,209,rLane_4,lbc21,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_5,t_210,210,rLane_5,lbc22,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_6,t_211,211,rLane_6,lbc24,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_7,t_212,212,rLane_7,lbc25,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_8,t_213,213,rLane_8,lbc26,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_9,t_214,214,rLane_9,lbc27,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_10,t_215,215,rLane_10,lbc28,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_11,t_216,216,rLane_11,lbc29,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_12,t_217,217,rLane_12,lbc30,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_13,t_218,218,rLane_13,lbc32,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_14,t_219,219,rLane_14,lbc34,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_15,t_220,220,rLane_15,lbc35,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_16,t_221,221,rLane_16,lbc37,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,male,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_41,t_222,222,rLane_41,lbc38,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_42,t_223,223,rLane_42,lbc39,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_43,t_224,224,rLane_43,lbc40,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_44,t_225,225,rLane_44,lbc42,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_45,t_226,226,rLane_45,lbc43,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_46,t_227,227,rLane_46,lbc44,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_47,t_228,228,rLane_47,lbc49,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_48,t_229,229,rLane_48,lbc50,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Redwood Regional,oakland,almeda,CA,park,no,no,yes
rLane_49,t_230,230,rLane_49,lbc51,C01,r54257_20200316_171956,tick,Ixodes pacificus,lane,UCB,tick,adult,female,Redwood Regional,oakland,almeda,CA,park,no,no,yes
