OTU_ID	size	t_324	t_325	t_326	t_327	t_329	t_330	t_331	t_332	t_333	t_334	t_335	t_336	t_338	t_339	t_340	t_341	t_342	t_343	t_344	t_345	t_346	t_347	t_349	t_350	t_351	t_352	t_353	t_354	t_356	t_357	t_359	t_360	t_361	t_362	t_363	t_364	t_365	t_367	t_368	t_369	t_370	t_371	t_372	t_373	t_375	t_21	t_22	t_28	t_29	t_30	t_32	t_72	t_73	t_74	t_75	t_76	t_77	t_78	t_79	t_80	t_81	t_82	t_83	t_84	t_85	t_86	t_87	t_88	t_89	t_90	t_91	t_92	t_93	t_94	t_95	t_96	t_97	t_98	t_99	t_100	t_101	t_102	t_103	t_104	t_105	t_106	t_107	t_108	t_109	t_110	t_111	t_112	t_113	t_114	t_115	t_117	t_116	t_118	t_119	t_120	t_121	t_122	t_123	t_124	t_125	t_126	t_127	t_128	t_129	t_130	t_131	t_132	t_133	t_134	t_135	t_136	t_138	t_139	t_140	t_143	t_144	t_147	t_148	t_151	t_154	t_155	t_157	t_158	t_160	t_161	t_163	t_164	t_167	t_168	t_171	t_172	t_175	t_176	t_178	t_179	t_180	t_181	t_182	t_184	t_185	t_186	t_187	t_190	t_191	t_192	t_194	t_197	t_198	t_201	t_202	t_203	t_204	t_205	t_206	t_207	t_208	t_209	t_210	t_211	t_212	t_213	t_214	t_215	t_216	t_217	t_218	t_219	t_220	t_221	t_222	t_223	t_224	t_225	t_226	t_227	t_228	t_229	t_230	t_231	t_232	t_233	t_234	t_235	t_236	t_237	t_238	t_239	t_240	t_241	t_242	t_243	t_244	t_245	t_246	t_248	t_249	t_250	t_251	t_252	t_253	t_254	t_255	t_256	t_257	t_258	t_259	t_260	t_261	t_262	t_263	t_264	t_265	t_266	t_267	t_268	t_269	t_270	t_271	t_272	t_273	t_274	t_275	t_276	t_277	t_278	t_279	t_280	t_281	t_282	t_283	t_284	t_285	t_286	t_287	t_288	t_289	t_290	t_291	t_292	t_293	t_294	t_295	t_296	t_297	t_298	t_299	t_300	t_301	t_302	t_303	t_304	t_305	t_306	t_307	t_308	t_309	t_310	t_311	t_312	t_313	t_314	t_315	t_316	t_317	t_318	t_319	t_320	t_321	t_322	t_323	domain	domain_conf	phylum	phylum_conf	class	class_conf	order	order_conf	family	family_conf	genus	genus_conf	species	species_conf	blast_query	blast_strain	blast_16s_completeness	blast_percent_identity	blast_alignment_length	ncbi_avglinkage_otu_id	num_of_sp_in_cluster	num_of_sp_in_db	num_of_otus_with_same_sp
OTU_1	165928	1372	2079	1132	1856	770	605	1468	2878	201	946	2496	36	187	743	493	890	585	1767	77	3922	296	120	3884	6356	539	750	8016	4905	5798	6589	2673	6356	5835	4482	24	2501	235	3467	1658	4001	6171	3725	5379	5627	0	0	0	0	0	0	0	1	2484	1	1012	2880	5	1098	0	0	0	3525	0	1	4464	461	3089	2	0	137	4439	34	0	0	1	0	0	0	0	1	5826	3257	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	717	0	1695	6602	6602	5963	4757	2032	510	5320	0	0	1812	0	1	2647	3945	1.01E+04	3804	0	3546	0	0	4295	3781	6214	0	8867	130	3424	1	3295	1	3851	15	1	1.34E+04	3925	0	0	2435	73	0	9	0	0	0	0	0	0	0	0	0	2	0	0	1103	13	899	0	0	836	15	350	567	0	759	0	138	0	0	0	302	486	704	1027	104	1502	1	3102	450	1159	4861	841	334	640	149	1925	0	407	0	787	464	1552	320	1853	0	1	0	0	0	9	164	0	1	0	0	18	0	1	0	226	0	3	1	0	25	0	0	0	0	1	106	0	2	26	24	0	0	5	718	1149	51	841	93	47	6	2	1	8	130	76	0	0	143	0	5	39	14	12	0	389	1159	124	0	17	228	1620	0	140	259	173	847	1423	0	1715	83	40	1	159	1	0	12	Bacteria	1	Proteobacteria	0.9994	Alphaproteobacteria	0.9993	Rickettsiales	0.9993	Rickettsiaceae	0.9995	Rickettsia	0.993	Rickettsia_monacensis	0.5993	"d:Bacteria,p:DeinococcusThermus,c:Deinococci,o:Thermales,f:Thermaceae,g:Meiothermus,s:Meiothermus_ruber"	DSM_1279	no	90.9	33	238	28	1	1
OTU_10	10784	7	0	0	1	0	0	23	30	123	0	55	0	1	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	4	0	0	0	0	2	6	2	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	16	17	2	0	0	1	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	8	2	0	17	29	0	14	0	0	21	0	0	0	48	0	0	70	0	0	0	1	0	0	0	0	18	0	0	121	511	1	1	945	0	0	0	705	781	0	0	112	0	1215	0	204	385	195	0	189	3	173	0	87	219	59	11	8	239	0	11	0	0	0	0	440	99	0	0	0	76	0	46	1	0	0	6	3325	0	16	0	69	0	1	0	5	457	0	0	2	62	5	5	0	7	15	38	6	8	2	0	0	0	0	9	1	39	22	56	11	0	0	1	9	18	6	2	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	33	1	0	1	0	0	0	5	135	0	5	Bacteria	1	Proteobacteria	0.9845	Gammaproteobacteria	0.9828	Xanthomonadales	0.97	Xanthomonadaceae	0.9774	Stenotrophomonas	0.6878	Stenotrophomonas_maltophilia	0.3997	"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,g:Stenotrophomonas,s:Stenotrophomonas_pavanii"	LMG_25348	no	99	1469	713	7	6	3
OTU_100	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	1	Firmicutes	0.9681	Clostridia	0.9355	Clostridiales	0.8933	Eubacteriaceae	0.6387	Eubacterium	0.5302	Eubacterium_coprostanoligenes	0.2112	NA	NA	NA	NA	NA	4184	1	1	1
OTU_1000	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	0.9294	Bacteroidetes	0.8285	Chitinophagia	0.0895	Chitinophagales	0.0678	Saprospiraceae	0.0228	Lewinella	0.002	Lewinella_marina	0	NA	NA	NA	NA	NA	2732	1	2	1
OTU_1001	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	0.9072	Proteobacteria	0.7287	Deltaproteobacteria	0.0895	Desulfuromonadales	0.0639	Geobacteraceae	0.0192	Geobacter	0.0019	Geobacter_argillaceus	0	"d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bacteriovoracaceae,g:Bacteriovorax,s:Bacteriovorax_stolpii"	DSM_12778	yes	92.6	81	3356	1	1	1
OTU_1002	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	0.3728	Proteobacteria	0.2297	Deltaproteobacteria	0.0274	Desulfovibrionales	0.015	Desulfovibrionaceae	0.0015	Desulfovibrio	0.0003	Desulfovibrio_africanus	0	NA	NA	NA	NA	NA	532	1	3	2
OTU_1003	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	0.7958	Proteobacteria	0.5956	Deltaproteobacteria	0.0732	Syntrophobacterales	0.0483	Syntrophaceae	0.0137	Desulfomonile	0.0014	Desulfomonile_limimaris	0	"d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Desulfovibrionales,f:Desulfomicrobiaceae,g:Desulfomicrobium,s:Desulfomicrobium_orale"	DSM_12838	no	94.2	86	932	1	1	1
OTU_1004	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	1	Bacteria	1	Firmicutes	0.929	Clostridia	0.721	Clostridiales	0.4335	Lachnospiraceae	0.1298	Tyzzerella	0.0157	Clostridium_propionicum	0.0003	NA	NA	NA	NA	NA	1783	1	2	1
OTU_1005	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	Bacteria	1	Proteobacteria	0.9479	Alphaproteobacteria	0.9017	Sphingomonadales	0.6662	Erythrobacteraceae	0.3232	Porphyrobacter	0.114	Porphyrobacter_dokdonensis	0.0076	"d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Erythrobacteraceae,g:Erythrobacter,s:Erythrobacter_gangjinensis"	K7-2_16S	no	93.8	1395	150	9	1	1
OTU_1006	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	Bacteria	0.6623	Cyanobacteria	0.4293	unsure_Terrabacteria_group	0.057	Synechococcales	0.0366	Pseudanabaenaceae	0.0081	Prochlorothrix	0.0009	Prochlorothrix_hollandica	0	"d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:unsure_unclassified_Burkholderiales,g:Sphaerotilus,s:Sphaerotilus_montanus"	HS_16S	no	96.8	31	6059	1	1	1
