sample,rName,r_num,original_samp_ID,bc,cell,runID,type,host,collaborator,institution,proj,stage,sex,park,town,county,state,environment,animal,antibiotic,group
10-23r,t_1,1,10-23r,,,,terk,,terk,,terk,,,,,,,,,,
14-30r,t_2,2,14-30r,,,,terk,,terk,,terk,,,,,,,,,,
13-30l,t_3,3,13-30l,,,,terk,,terk,,terk,,,,,,,,,,
12-27r,t_4,4,12-27r,,,,terk,,terk,,terk,,,,,,,,,,
15-24l,t_5,5,15-24l,,,,terk,,terk,,terk,,,,,,,,,,
11-27l,t_6,6,11-27l,,,,terk,,terk,,terk,,,,,,,,,,
16-24r,t_7,7,16-24r,,,,terk,,terk,,terk,,,,,,,,,,
17-34l,t_8,8,17-34l,,,,terk,,terk,,terk,,,,,,,,,,
18-34r,t_9,9,18-34r,,,,terk,,terk,,terk,,,,,,,,,,
20-21r,t_10,10,20-21r,,,,terk,,terk,,terk,,,,,,,,,,
21-22l-1,t_11,11,21-22l-1,,,,terk,,terk,,terk,,,,,,,,,,
22-22r-1,t_12,12,22-22r-1,,,,terk,,terk,,terk,,,,,,,,,,
23-28l,t_13,13,23-28l,,,,terk,,terk,,terk,,,,,,,,,,
24-28r,t_14,14,25-36l,,,,terk,,terk,,terk,,,,,,,,,,
25-36l,t_15,15,24-28r,,,,terk,,terk,,terk,,,,,,,,,,
26-36r,t_16,16,26-36r,,,,terk,,terk,,terk,,,,,,,,,,
27-33l,t_17,17,28-33r,,,,terk,,terk,,terk,,,,,,,,,,
28-33r,t_18,18,27-33l,,,,terk,,terk,,terk,,,,,,,,,,
29-22l-2,t_19,19,29-22l-2,,,,terk,,terk,,terk,,,,,,,,,,
30-22r-2,t_20,20,30-22r-2,,,,terk,,terk,,terk,,,,,,,,,,
31_something,t_21,21,31_something,,,,terk_control,,terk,,tick,,,,,,,,,,
32_isolation_control,t_22,22,32_isolation_control,,,,terk_control,,terk,,control,,,,,,,,,,
4-37r,t_23,23,4-37r,,,,terk,,terk,,terk,,,,,,,,,,
5-31l,t_24,24,5-31l,,,,terk,,terk,,terk,,,,,,,,,,
6-31r,t_25,25,6-31r,,,,terk,,terk,,terk,,,,,,,,,,
8-32r,t_26,26,8-32r,,,,terk,,terk,,terk,,,,,,,,,,
9-23l,t_27,27,9-23l,,,,terk,,terk,,terk,,,,,,,,,,
pcr_control_bkI,t_28,28,pcr_control_bkI,,,,terk_control,,terk,,control,,,,,,,,,,
pcr_control_bkII,t_29,29,pcr_control_bkII,,,,terk_control,,terk,,control,,,,,,,,,,
pcr_control_bkIII,t_30,30,pcr_control_bkIII,,,,terk_control,,terk,,control,,,,,,,,,,
H20_ampli_control_3,t_31,31,H20_ampli_control_3,,,,terk_control,,terk,,control,,,,,,,,,,
pcr_control_bkIV,t_32,32,pcr_control_bkIV,,,,terk_control,,terk,,control,,,,,,,,,,
TERK_11R,t_33,33,TERK_11R,,,,terk,,terk,,terk,,,,,,,,,,
TERK_12L,t_34,34,TERK_12L,,,,terk,,terk,,terk,,,,,,,,,,
TERK_12R,t_35,35,TERK_12R,,,,terk,,terk,,terk,,,,,,,,,,
TERK_13R,t_36,36,TERK_13R,,,,terk,,terk,,terk,,,,,,,,,,
TERK_14L,t_37,37,TERK_14L,,,,terk,,terk,,terk,,,,,,,,,,
TERK_15L,t_38,38,TERK_15L,,,,terk,,terk,,terk,,,,,,,,,,
TERK_15R,t_39,39,TERK_15R,,,,terk,,terk,,terk,,,,,,,,,,
TERK_16L,t_40,40,TERK_16L,,,,terk,,terk,,terk,,,,,,,,,,
TERK_17L,t_41,41,TERK_17L,,,,terk,,terk,,terk,,,,,,,,,,
TERK_17R,t_42,42,TERK_17R,,,,terk,,terk,,terk,,,,,,,,,,
TERK_19L,t_43,43,TERK_19L,,,,terk,,terk,,terk,,,,,,,,,,
TERK_20L,t_44,44,TERK_20L,,,,terk,,terk,,terk,,,,,,,,,,
TERK_20R,t_45,45,TERK_20R,,,,terk,,terk,,terk,,,,,,,,,,
TERK302,t_46,46,TERK302,,,,terk,,terk,,terk,,,,,,,,,,
TERK304,t_47,47,TERK304,,,,terk,,terk,,terk,,,,,,,,,,
TERK305,t_48,48,TERK305,,,,terk,,terk,,terk,,,,,,,,,,
TERK307,t_49,49,TERK307,,,,terk,,terk,,terk,,,,,,,,,,
TERK308,t_50,50,TERK308,,,,terk,,terk,,terk,,,,,,,,,,
TERK311,t_51,51,TERK311,,,,terk,,terk,,terk,,,,,,,,,,
TERK314,t_52,52,TERK314,,,,terk,,terk,,terk,,,,,,,,,,
TERK315,t_53,53,TERK315,,,,terk,,terk,,terk,,,,,,,,,,
TERK316,t_54,54,TERK316,,,,terk,,terk,,terk,,,,,,,,,,
TERK318,t_55,55,TERK318,,,,terk,,terk,,terk,,,,,,,,,,
TERK324,t_56,56,TERK324,,,,terk,,terk,,terk,,,,,,,,,,
TERK325,t_57,57,TERK325,,,,terk,,terk,,terk,,,,,,,,,,
TERK326,t_58,58,TERK326,,,,terk,,terk,,terk,,,,,,,,,,
TERK328,t_59,59,TERK328,,,,terk,,terk,,terk,,,,,,,,,,
TERK332,t_60,60,TERK332,,,,terk,,terk,,terk,,,,,,,,,,
TERK334,t_61,61,TERK334,,,,terk,,terk,,terk,,,,,,,,,,
TERK335,t_62,62,TERK335,,,,terk,,terk,,terk,,,,,,,,,,
TERK336,t_63,63,TERK336,,,,terk,,terk,,terk,,,,,,,,,,
TERK_3L,t_64,64,TERK_3L,,,,terk,,terk,,terk,,,,,,,,,,
TERK_3R,t_65,65,TERK_3R,,,,terk,,terk,,terk,,,,,,,,,,
TERK_6L,t_66,66,TERK_6L,,,,terk,,terk,,terk,,,,,,,,,,
TERK_6R,t_67,67,TERK_6R,,,,terk,,terk,,terk,,,,,,,,,,
TERK_8L,t_68,68,TERK_8L,,,,terk,,terk,,terk,,,,,,,,,,
TERK_8R,t_69,69,TERK_8R,,,,terk,,terk,,terk,,,,,,,,,,
TERK_9R,t_70,70,TERK_9R,,,,terk,,terk,,terk,,,,,,,,,,
TERK_control1,t_71,71,TERK_control1,,,,terk_control,,terk,,control,,,,,,,,,,
tick10,t_72,72,tick10,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,nymph,,no,holmdel,monmouth,New Jersey,,,,No
tick11,t_73,73,tick11,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,nymph,,no,milltown,middlesex,New Jersey,,,,No
tick12,t_74,74,tick12,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,nymph,,no,stroudsburg,monroe,Pennsylvania,,,,No
tick13,t_75,75,tick13,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,nymph,,no,clarks_summit,lackawanna,Pennsylvania,,,,No
tick14,t_76,76,tick14,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,adult,male,no,mahwah,bergen,New Jersey,,,,No
tick15,t_77,77,tick15,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,adult,male,no,stroudsburg,monroe,Pennsylvania,,,,No
tick16,t_78,78,tick16,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,nymph,,no,ardmore,montgomery,Pennsylvania,,,,No
tick17,t_79,79,tick17,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,nymph,,no,mechanicsburg,cumberland,Pennsylvania,,,,No
tick19,t_80,80,tick19,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,adult,male,no,bethlehem,northampton,Pennsylvania,,,,No
tick1,t_81,81,tick1,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,adult,male,no,mt_laurel,burlington,New Jersey,,,,No
tick20,t_82,82,tick20,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,adult,female,no,,Millerton,Pennsylvania,,,,No
tick21,t_83,83,tick21,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,adult,female,no,jackson,ocean,New Jersey,,,,No
tick22,t_84,84,tick22,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,nymph,,no,allenwood,monmouth,New Jersey,,,,No
tick23,t_85,85,tick23,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,nymph,,no,sewickley,allegheny ,Pennsylvania,,,,No
tick24,t_86,86,tick24,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,adult,male,no,stafford Twp.,ocean,New Jersey,,,,No
tick25,t_87,87,tick25,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,nymph,,no,freehold,monmouth,New Jersey,,,,No
tick26,t_88,88,tick26,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,larva,,no,milford,pike,Pennsylvania,,,,No
tick27,t_89,89,tick27,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,nymph,,no,helmetta,middlesex,New Jersey,,,,No
tick28,t_90,90,tick28,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,adult,female,no,effort,monroe,Pennsylvania,,,,No
tick2,t_91,91,tick2,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,,male,no,scroton,monroe,Pennsylvania,,,,No
tick30,t_92,92,tick30,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,adult,female,no,voorhees,camden,New Jersey,,,,No
tick31,t_93,93,tick31,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,male,no,washington,washington,Pennsylvania,,,,No
tick32,t_94,94,tick32,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,male,no,pittsburgh,allegheny,Pennsylvania,,,,No
tick33,t_95,95,tick33,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,female,no,randolph,morris,New Jersey,,,,No
tick34,t_96,96,tick34,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,female,no,exton,chester,Pennsylvania,,,,No
tick35,t_97,97,tick35,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,male,no,meadowbrook,montgomery,Pennsylvania,,,,No
tick36,t_98,98,tick36,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,male,no,harleysville,montgomery,Pennsylvania,,,,No
tick37,t_99,99,tick37,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,male,no,tunkhannock,wyoming,Pennsylvania,,,,No
tick38,t_100,100,tick38,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,female,no,newtown,bucks,Pennsylvania,,,,No
tick39,t_101,101,tick39,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,male,no,biglerville,adams,Pennsylvania,,,,No
tick3,t_102,102,tick3,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,adult,male,no,,bradford,Pennsylvania,,,,No
tick40,t_103,103,tick40,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,female,no,shippensburg,cumberland,Pennsylvania,,,,No
tick41,t_104,104,tick41,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,female,no,bridgewater,beaver,New Jersey,,,,No
tick42,t_105,105,tick42,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,female,no,windsor,york,Pennsylvania,,,,No
tick43,t_106,106,tick43,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,male,no,wind_gap,northampton,Pennsylvania,,,,No
tick44,t_107,107,tick44,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,female,no,aspers,adams,Pennsylvania,,,,No
tick45,t_108,108,tick45,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,female,no,nazareth,northampton,Pennsylvania,,,,No
tick46,t_109,109,tick46,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,female,no,bushkill,pike,Pennsylvania,,,,No
tick47,t_110,110,tick47,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,female,no,saddle_river,bergen,New Jersey,,,,No
tick48,t_111,111,tick48,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,male,no,wyckoff,bergen,New Jersey,,,,No
tick49,t_112,112,tick49,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,female,no,brodheadsville,monroe,Pennsylvania,,,,No
tick4,t_113,113,tick4,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,adult,female,no,wrightstown,burlington,New Jersey,,,,No
tick50,t_114,114,tick50,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,male,no,hawley,pike,Pennsylvania,,,,No
tick52,t_115,115,tick52,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,female,no,lords_valley,pike,Pennsylvania,,,,No
tick51,t_116,116,tick51,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,female,no,wind_gap,northampton,Pennsylvania,,,,No
tick54,t_117,117,tick54,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,female,no,stroudsburg,monroe,Pennsylvania,,,,No
tick55,t_118,118,tick55,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,female,no,pocono_lake,monroe,Pennsylvania,,,,No
tick56,t_119,119,tick56,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,female,no,alpine,bergen,New Jersey,,,,No
tick57,t_120,120,tick57,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,female,no,buck_hill_falls,monroe,Pennsylvania,,,,No
tick58,t_121,121,tick58,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,female,no,montrose,susquehanna,Pennsylvania,,,,No
tick59,t_122,122,tick59,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,female,no,tannersville,monroe,Pennsylvania,,,,No
tick5,t_123,123,tick5,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,adult,male,no,rumson,monmouth,New Jersey,,,,No
tick60,t_124,124,tick60,,,,tick,Dermacentor variabilis,chinnichi,ESU,tick,adult,male,no,shade_gap,huntingdon,Pennsylvania,,,,No
tick61,t_125,125,tick61,,,,tick,Ixodes scapularis,chinnichi,ESU,tick,nymph,,no,springbrook twp.,lackawanna,Pennsylvania,,,,No
tick62,t_126,126,tick62,,,,tick,Ixodes scapularis,chinnichi,ESU,tick,adult,female,no,pittsburgh,allegheny,Pennsylvania,,,,No
tick64,t_127,127,tick64,,,,tick,Ixodes scapularis,chinnichi,ESU,tick,,female,no,stroudsburg,monroe,Pennsylvania,,,,No
tick65,t_128,128,tick65,,,,tick,Ixodes scapularis,chinnichi,ESU,tick,,female,no,east stroudsburg,monroe,Pennsylvania,,,,No
tick66,t_129,129,tick66,,,,tick,Ixodes scapularis,chinnichi,ESU,tick,,female,no,bellefonte,centre,Pennsylvania,,,,No
tick67,t_130,130,tick67,,,,tick,Ixodes scapularis,chinnichi,ESU,tick,,female,no,pocono_lake,monroe,Pennsylvania,,,,No
tick68,t_131,131,tick68,,,,tick,Ixodes scapularis,chinnichi,ESU,tick,,,no,bethlehem,northampton,Pennsylvania,,,,No
tick69,t_132,132,tick69,,,,tick,Ixodes scapularis,chinnichi,ESU,tick,,female,no,mountainhome,monroe,Pennsylvania,,,,No
tick6,t_133,133,tick6,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,adult,female,no,mt_laurel,burlington ,New Jersey,,,,No
tick7,t_134,134,tick7,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,nymph,,no,east_brunswick,middlesex,New Jersey,,,,No
tick8,t_135,135,tick8,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,nymph,female,no,howell,monmouth,New Jersey,,,,No
tick9,t_136,136,tick9,,,,tick,Amblyomma americanum,chinnichi,ESU,tick,adult,,no,northampton,northampton,Pennsylvania,,,,No
TT001_13_30l,t_137,137,TT001_13_30l,,,,terk,,,,terk,,,,,,,,,,
TT001_tick_123,t_138,138,TT001_tick_123,,,,tick,ixodes_scapularis,mcguire,,tick,,,,,,,,no,no,no
TT001_tick_55,t_139,139,TT001_tick_55,,,,tick,ixodes_scapularis,vandergrift,,tick,adult,female,yes,,university_park,PA,grass,no,no,yes
TT001_tick_56,t_140,140,TT001_tick_56,,,,tick,ixodes_scapularis,,,tick,adult,female,yes,,university_park,PA,grass,no,no,yes
TT002_21_22l_1,t_141,141,TT002_21_22l_1,,,,terk,,,,terk,,,,,,,,,,
TT002_5_31l,t_142,142,TT002_5_31l,,,,terk,,,,terk,,,,,,,,,,
TT002_tick_126,t_143,143,TT002_tick_126,,,,tick,amblyomma_americanum,,,tick,,,,,,,,,,
TT002_tick_79,t_144,144,TT002_tick_79,,,,tick,ixodes_scapularis,,,tick,adult,female,yes,,university_park,PA,grass,no,no,yes
TT003_15_24l,t_145,145,TT003_15_24l,,,,terk,,,,terk,,,yes,,university_park,PA,grass,no,no,yes
TT003_27_33l,t_146,146,TT003_27_33l,,,,terk,,,,terk,,,,,,,,,,
TT003_tick_130,t_147,147,TT003_tick_130,,,,tick,dermacentor_variabilis,,,tick,,,,,,,,,,
TT003_tick_82,t_148,148,TT003_tick_82,,,,tick,ixodes_scapularis,,,tick,adult,female,yes,,university_park,PA,grass,no,no,yes
TT004_14_30r,t_149,149,TT004_14_30r,,,,terk,,,,terk,,,,,,,,,,
TT004_25_36l,t_150,150,TT004_25_36l,,,,terk,,,,terk,,,,,,,,,,
TT004_tick_124,t_151,151,TT004_tick_124,,,,tick,amblyomma_americanum,,,tick,,,,,,,,,,no
TT005_28_33r,t_152,152,TT005_28_33r,,,,terk,,,,terk,,,,,,,,,,
TT005_6_31r,t_153,153,TT005_6_31r,,,,terk,,,,terk,,,,,,,,,,
TT005_tick_127,t_154,154,TT005_tick_127,,,,tick,amblyomma_americanum,,,tick,,,,,,,,,,no
TT005_tick_89,t_155,155,TT005_tick_89,,,,tick,ixodes_scapularis,,,tick,adult,female,yes,,university_park,PA,grass,no,no,yes
TT006_16_24r,t_156,156,TT006_16_24r,,,,terk,,,,terk,,,,,,,,,,
TT006_tick_129,t_157,157,TT006_tick_129,,,,tick,dermacentor_variabilis,,,tick,,,,,,,,,,no
TT006_tick_87,t_158,158,TT006_tick_87,,,,tick,ixodes_scapularis,,,tick,adult,female,yes,,university_park,PA,grass,no,no,yes
TT007_18_34r,t_159,159,TT007_18_34r,,,,terk,,,,terk,,,,,,,,,,
TT007_tick_122,t_160,160,TT007_tick_122,,,,tick,ixodes_scapularis,,,tick,,,,,,,,,,
TT007_tick_62,t_161,161,TT007_tick_62,,,,tick,ixodes_scapularis,,,tick,adult,female,yes,,university_park,PA,grass,no,no,yes
TT008_19_21l,t_162,162,TT008_19_21l,,,,terk,,,,terk,,,,,,,,,,
TT008_tick_106,t_163,163,TT008_tick_106,,,,terk,,,,tick,,,,,,,,,,
TT008_tick_91,t_164,164,TT008_tick_91,,,,tick,ixodes_scapularis,,,tick,adult,female,yes,,university_park ,PA,grass,no,no,yes
TT009_17_34l,t_165,165,TT009_17_34l,,,,terk,,,,terk,,,,,,,,,,
TT009_22_22r_1,t_166,166,TT009_22_22r_1,,,,terk,,,,terk,,,,,,,,,,
TT009_tick_105,t_167,167,TT009_tick_105,,,,tick,ixodes_scapularis,,,tick,,,,,,,,,,
TT009_tick_95,t_168,168,TT009_tick_95,,,,tick,ixodes_scapularis,,,tick,adult,female,yes,,university_park,PA,grass,no,no,yes
TT010_20_21r,t_169,169,TT010_20_21r,,,,terk,,,,terk,,,,,,,,,,
TT010_8_32r,t_170,170,TT010_8_32r,,,,terk,,,,terk,,,,,,,,,,
TT010_tick_128,t_171,171,TT010_tick_128,,,,tick,amblyomma_americanum,,,tick,,,,,,,,,,
TT010_tick_97,t_172,172,TT010_tick_97,,,,tick,ixodes_scapularis,,,tick,adult,female,yes,,university_park,PA,grass, no,no,yes
TT011_12_27r,t_173,173,TT011_12_27r,,,,terk,,,,terk,,,,,,,,,,
TT011_32_isolation_control,t_174,174,TT011_32_isolation_control,,,,terk,,,,control,,,,,,,,,,
TT011_tick_109,t_175,175,TT011_tick_109,,,,tick,ixodes_scapularis,,,tick,,,,,,,,,,
TT011_tick_90,t_176,176,TT011_tick_90,,,,tick,ixodes_scapularis,,,tick,adult,female,yes,,university_park,PA,grass,no,no,yes
TT012_30_22r_2,t_177,177,TT012_30_22r_2,,,,terk,,,,terk,,,,,,,,,,
TT012_tick_78,t_178,178,TT012_tick_78,,,,tick,ixodes_scapularis,,,tick,adult,female,yes,,university_park,PA,grass,no,no,yes
TT013_tick_52,t_179,179,TT013_tick_52,,,,tick,ixodes_scapularis,,,tick,adult,female,yes,,university_park,PA,grass,no,no,yes
TT013_tick_96,t_180,180,TT013_tick_96,,,,tick,ixodes_scapularis,,,tick,adult,female,yes,,university_park,PA,grass,no,no,yes
TT014_tick_48,t_181,181,TT014_tick_48,,,,tick,ixodes_scapularis,,,tick,adult,female,yes,,university_park,PA,grass,no,no,yes
TT014_tick_81,t_182,182,TT014_tick_81,,,,tick,ixodes_scapularis,,,tick,adult,female,yes,,university_park,PA,grass,no,no,yes
TT016_29_22l_2,t_183,183,TT016_29_22l_2,,,,terk,,,,terk,,,,,,,,,,
TT016_tick_63,t_184,184,TT016_tick_63,,,,tick,ixodes_scapularis,,,tick,adult,female,yes,,university_park,PA,grass,no,no,yes
TT017_tick_51,t_185,185,TT017_tick_51,,,,tick,ixodes_scapularis,,,tick,adult,female,yes,,university_park,PA,grass,no,no,yes
TT017_tick_64,t_186,186,TT017_tick_64,,,,tick,ixodes_scapularis,,,tick,adult,female,yes,,university_park,PA,grass,no,no,yes
TT018_tick_61,t_187,187,TT018_tick_61,,,,tick,ixodes_scapularis,,,tick,adult,female,yes,,university_park,PA,grass,no,no,yes
TT019_11_27l,t_188,188,TT019_11_27l,,,,terk,,,,terk,,,,,,,,,,
TT019_23_28l,t_189,189,TT019_23_28l,,,,terk,,,,terk,,,,,,,,,,
TT019_tick_94,t_190,190,TT019_tick_94,,,,tick,ixodes_scapularis,,,tick,adult,female,yes,,university_park,PA,grass,no,no,yes
TT020_tick_44,t_191,191,TT020_tick_44,,,,tick,ixodes_scapularis,,,tick,adult,female,yes,,university_park,PA,grass,no,no,yes
TT021_31_something,t_192,192,TT021_31_something,,,,terk,,,,tick,,,,,,,,,,
TT021_7_32l,t_193,193,TT021_7_32l,,,,terk,,,,terk,,,,,,,,,,
TT021_tick_103,t_194,194,TT021_tick_103,,,,tick,ixodes_scapularis,,,tick,adult,female,yes,,university_park,PA,grass,no,no,yes
