OTU_ID	t_324	t_325	t_326	t_327	t_329	t_330	t_331	t_332	t_333	t_334	t_335	t_336	t_338	t_339	t_340	t_341	t_342	t_343	t_344	t_345	t_346	t_347	t_349	t_350	t_351	t_352	t_353	t_354	t_356	t_357	t_359	t_360	t_361	t_362	t_363	t_364	t_365	t_367	t_368	t_369	t_370	t_371	t_372	t_373	t_375	t_205	t_206	t_207	t_208	t_209	t_210	t_211	t_212	t_213	t_214	t_215	t_216	t_217	t_218	t_219	t_220	t_221	t_222	t_223	t_224	t_225	t_226	t_227	t_228	t_229	t_230	t_231	t_232	t_233	t_234	t_235	t_236	t_237	t_238	t_239	t_240	t_241	t_242	t_243	t_244	t_245	t_246
OTU_1	1372	2079	1132	1856	770	605	1468	2878	201	946	2496	36	187	743	493	890	585	1767	77	3922	296	120	3884	6356	539	750	8016	4905	5798	6589	2673	6356	5835	4482	24	2501	235	3467	1658	4001	6171	3725	5379	5627	0	0	1103	13	899	0	0	836	15	350	567	0	759	0	138	0	0	0	302	486	704	1027	104	1502	1	3102	450	1159	4861	841	334	640	149	1925	0	407	0	787	464	1552	320	1853	0
OTU_10	7	0	0	1	0	0	23	30	123	0	55	0	1	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	4	0	0	0	0	2	6	2	0	0	0	0	0	121	511	1	1	945	0	0	0	705	781	0	0	112	0	1215	0	204	385	195	0	189	3	173	0	87	219	59	11	8	239	0	11	0	0	0	0	440	99	0	0	0
OTU_100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0
OTU_101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	0	0	0	0	0	0	0
OTU_1017	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1018	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1019	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1020	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1021	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1022	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
