OTU_ID	domain	domain_conf	phylum	phylum_conf	class	class_conf	order	order_conf	family	family_conf	genus	genus_conf	species	species_conf	blast_query	blast_strain	blast_16s_completeness	blast_percent_identity	blast_alignment_length	ncbi_avglinkage_otu_id	num_of_sp_in_cluster	num_of_sp_in_db	num_of_otus_with_same_sp
OTU_1	Bacteria	1	Proteobacteria	0.9994	Alphaproteobacteria	0.9993	Rickettsiales	0.9993	Rickettsiaceae	0.9995	Rickettsia	0.993	Rickettsia_monacensis	0.5993	d:Bacteria,p:DeinococcusThermus,c:Deinococci,o:Thermales,f:Thermaceae,g:Meiothermus,s:Meiothermus_ruber	DSM_1279	no	90.9	33	238	28	1	1
OTU_10	Bacteria	1	Proteobacteria	0.9845	Gammaproteobacteria	0.9828	Xanthomonadales	0.97	Xanthomonadaceae	0.9774	Stenotrophomonas	0.6878	Stenotrophomonas_maltophilia	0.3997	d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,g:Stenotrophomonas,s:Stenotrophomonas_pavanii	LMG_25348	no	99	1469	713	7	6	3
OTU_100	Bacteria	1	Firmicutes	0.9681	Clostridia	0.9355	Clostridiales	0.8933	Eubacteriaceae	0.6387	Eubacterium	0.5302	Eubacterium_coprostanoligenes	0.2112	NA	NA	NA	NA	NA	4184	1	1	1
OTU_1000	Bacteria	0.9294	Bacteroidetes	0.8285	Chitinophagia	0.0895	Chitinophagales	0.0678	Saprospiraceae	0.0228	Lewinella	0.002	Lewinella_marina	0	NA	NA	NA	NA	NA	2732	1	2	1
OTU_1001	Bacteria	0.9072	Proteobacteria	0.7287	Deltaproteobacteria	0.0895	Desulfuromonadales	0.0639	Geobacteraceae	0.0192	Geobacter	0.0019	Geobacter_argillaceus	0	d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bacteriovoracaceae,g:Bacteriovorax,s:Bacteriovorax_stolpii	DSM_12778	yes	92.6	81	3356	1	1	1
OTU_1002	Bacteria	0.3728	Proteobacteria	0.2297	Deltaproteobacteria	0.0274	Desulfovibrionales	0.015	Desulfovibrionaceae	0.0015	Desulfovibrio	3e-4	Desulfovibrio_africanus	0	NA	NA	NA	NA	NA	532	1	3	2
OTU_1003	Bacteria	0.7958	Proteobacteria	0.5956	Deltaproteobacteria	0.0732	Syntrophobacterales	0.0483	Syntrophaceae	0.0137	Desulfomonile	0.0014	Desulfomonile_limimaris	0	d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Desulfovibrionales,f:Desulfomicrobiaceae,g:Desulfomicrobium,s:Desulfomicrobium_orale	DSM_12838	no	94.2	86	932	1	1	1
OTU_1004	Bacteria	1	Firmicutes	0.929	Clostridia	0.721	Clostridiales	0.4335	Lachnospiraceae	0.1298	Tyzzerella	0.0157	Clostridium_propionicum	3e-4	NA	NA	NA	NA	NA	1783	1	2	1
OTU_1005	Bacteria	1	Proteobacteria	0.9479	Alphaproteobacteria	0.9017	Sphingomonadales	0.6662	Erythrobacteraceae	0.3232	Porphyrobacter	0.114	Porphyrobacter_dokdonensis	0.0076	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Erythrobacteraceae,g:Erythrobacter,s:Erythrobacter_gangjinensis	K7-2_16S	no	93.8	1395	150	9	1	1
OTU_1006	Bacteria	0.6623	Cyanobacteria	0.4293	unsure_Terrabacteria_group	0.057	Synechococcales	0.0366	Pseudanabaenaceae	0.0081	Prochlorothrix	9e-4	Prochlorothrix_hollandica	0	d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:unsure_unclassified_Burkholderiales,g:Sphaerotilus,s:Sphaerotilus_montanus	HS_16S	no	96.8	31	6059	1	1	1
OTU_1007	Bacteria	0.8181	Proteobacteria	0.5956	Deltaproteobacteria	0.0692	Desulfuromonadales	0.0483	Geobacteraceae	0.0137	Geobacter	0.0014	Geobacter_pelophilus	0	d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Halobacteriovoraceae,g:Halobacteriovorax,s:Halobacteriovorax_marinus	SJ_16S	no	100	26	347	1	1	1
OTU_1008	Bacteria	1	Proteobacteria	0.9094	Alphaproteobacteria	0.6724	Rhizobiales	0.3478	unsure_unclassified_Rhizobiales	0.1298	Nordella	0.0157	Nordella_oligomobilis	9e-4	NA	NA	NA	NA	NA	4918	1	1	1
OTU_1009	Bacteria	0.9294	Proteobacteria	0.6954	Alphaproteobacteria	0.0854	Sneathiellales	0.06	Sneathiellaceae	0.0192	Sneathiella	0.0019	Sneathiella_chinensis	0	NA	NA	NA	NA	NA	2182	1	2	1
OTU_101	Bacteria	1	Actinobacteria	0.9743	Actinobacteria	0.9355	Micrococcales	0.6332	Microbacteriaceae	0.5242	Agrococcus	0.1355	Agrococcus_terreus	0.0141	NA	NA	NA	NA	NA	489	5	1	1
